evenement,heure_windows_utc,filetime,pid,processus,classe,operation,chemin,resultat_ntstatus,details
348549,2026-09-10T14:02:50.752835+00:00,134335225707528355,5176,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst\Qt5Network.dll,0x00000000,{}
348552,2026-09-10T14:02:50.753755+00:00,134335225707537551,5176,xcopy.exe,File_System,CreateFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Desired Access"": ""Write Attributes"", ""Disposition"": ""Open"", ""Options"": """", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
348555,2026-09-10T14:02:50.754117+00:00,134335225707541179,5176,xcopy.exe,File_System,SetBasicInformationFile,C:\WindSyst\Qt5Network.dll,0x00000000,{}
348556,2026-09-10T14:02:50.754273+00:00,134335225707542738,5176,xcopy.exe,File_System,CloseFile,C:\WindSyst\Qt5Network.dll,0x00000000,{}
348557,2026-09-10T14:02:50.754365+00:00,134335225707543657,5176,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst\Qt5Network.dll,0x00000000,{}
348561,2026-09-10T14:02:50.755423+00:00,134335225707554234,5176,xcopy.exe,File_System,CreateFile,C:\WindSyst,0x00000000,"{""Desired Access"": ""Read Data/List Directory, Synchronize"", ""Disposition"": ""Open"", ""Options"": ""Directory, Synchronous IO Non-Alert"", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
348564,2026-09-10T14:02:50.755643+00:00,134335225707556432,5176,xcopy.exe,File_System,QueryDirectory,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Filter"": ""Qt5Network.dll"", ""FileInformationClass"": ""FileBothDirectoryInformation"", ""2"": ""Qt5Network.dll""}"
348567,2026-09-10T14:02:50.755994+00:00,134335225707559940,5176,xcopy.exe,File_System,CloseFile,C:\WindSyst,0x00000000,{}
348568,2026-09-10T14:02:50.756089+00:00,134335225707560891,5176,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst,0x00000000,{}
348569,2026-09-10T14:02:50.757020+00:00,134335225707570200,5176,xcopy.exe,File_System,CreateFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Desired Access"": ""Write Attributes"", ""Disposition"": ""Open"", ""Options"": """", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
348571,2026-09-10T14:02:50.757324+00:00,134335225707573246,5176,xcopy.exe,File_System,SetBasicInformationFile,C:\WindSyst\Qt5Network.dll,0x00000000,{}
348572,2026-09-10T14:02:50.757437+00:00,134335225707574378,5176,xcopy.exe,File_System,CloseFile,C:\WindSyst\Qt5Network.dll,0x00000000,{}
348573,2026-09-10T14:02:50.757527+00:00,134335225707575279,5176,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst\Qt5Network.dll,0x00000000,{}
348680,2026-09-10T14:02:50.781397+00:00,134335225707813976,5176,xcopy.exe,Process,Process_Exit,,0x00000000,"{""Exit Status"": 0, ""User Time"": 312500, ""Kernel Time"": 1875000, ""Private Bytes"": 1531904, ""Peak Private Bytes"": 1531904, ""Working Set"": 5124096, ""Peak Working Set"": 5128192}"
348739,2026-09-10T14:02:50.797525+00:00,134335225707975250,3520,cmd.exe,Process,Process_Exit,,0x00000000,"{""Exit Status"": 0, ""User Time"": 0, ""Kernel Time"": 1406250, ""Private Bytes"": 4579328, ""Peak Private Bytes"": 4841472, ""Working Set"": 4792320, ""Peak Working Set"": 4907008}"
