evenement,heure_windows_utc,filetime,pid,processus,classe,operation,chemin,resultat_ntstatus,details
128766,2026-09-10T10:33:42.251973+00:00,134335100222519733,5572,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Offset"": 786432, ""Length"": 262144}"
128773,2026-09-10T10:33:42.253417+00:00,134335100222534171,5572,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Offset"": 1048576, ""Length"": 262144}"
128779,2026-09-10T10:33:42.259073+00:00,134335100222590730,5572,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Offset"": 1310720, ""Length"": 262144}"
128781,2026-09-10T10:33:42.260122+00:00,134335100222601228,5572,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Offset"": 1572864, ""Length"": 225280}"
128782,2026-09-10T10:33:42.260634+00:00,134335100222606345,5572,xcopy.exe,File_System,SetBasicInformationFile,C:\WindSyst\Qt5Network.dll,0x00000000,{}
128783,2026-09-10T10:33:42.261166+00:00,134335100222611664,5572,xcopy.exe,File_System,QueryRemoteProtocolInformation,C:\WindSyst\Qt5Network.dll,0xc000000d,{}
128790,2026-09-10T10:33:42.264885+00:00,134335100222648857,5572,xcopy.exe,File_System,CloseFile,C:\WindSyst\Qt5Network.dll,0x00000000,{}
128800,2026-09-10T10:33:42.267876+00:00,134335100222678766,5572,xcopy.exe,File_System,QueryOpen,C:\WindSyst\Qt5Network.dll,0xc01c0004,{}
128802,2026-09-10T10:33:42.268597+00:00,134335100222685971,5572,xcopy.exe,File_System,CreateFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Desired Access"": ""Read Attributes"", ""Disposition"": ""Open"", ""Options"": ""Open Reparse Point"", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
128803,2026-09-10T10:33:42.268757+00:00,134335100222687579,5572,xcopy.exe,File_System,QueryBasicInformationFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""CreationTime"": 134335100222124612, ""LastAccessTime"": 134335100222585872, ""LastWriteTime"": 133048999860000000, ""ChangeTime"": 134335096099684066, ""FileAttributes"": ""A""}"
128804,2026-09-10T10:33:42.268858+00:00,134335100222688580,5572,xcopy.exe,File_System,CloseFile,C:\WindSyst\Qt5Network.dll,0x00000000,{}
128806,2026-09-10T10:33:42.268969+00:00,134335100222689696,5572,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst\Qt5Network.dll,0x00000000,{}
128808,2026-09-10T10:33:42.269821+00:00,134335100222698214,5572,xcopy.exe,File_System,CreateFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Desired Access"": ""Write Attributes"", ""Disposition"": ""Open"", ""Options"": """", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
128810,2026-09-10T10:33:42.270130+00:00,134335100222701307,5572,xcopy.exe,File_System,SetBasicInformationFile,C:\WindSyst\Qt5Network.dll,0x00000000,{}
128811,2026-09-10T10:33:42.270243+00:00,134335100222702438,5572,xcopy.exe,File_System,CloseFile,C:\WindSyst\Qt5Network.dll,0x00000000,{}
128813,2026-09-10T10:33:42.270333+00:00,134335100222703334,5572,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst\Qt5Network.dll,0x00000000,{}
128817,2026-09-10T10:33:42.272247+00:00,134335100222722471,5572,xcopy.exe,File_System,CreateFile,C:\WindSyst,0x00000000,"{""Desired Access"": ""Read Data/List Directory, Synchronize"", ""Disposition"": ""Open"", ""Options"": ""Directory, Synchronous IO Non-Alert"", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
128818,2026-09-10T10:33:42.272475+00:00,134335100222724755,5572,xcopy.exe,File_System,QueryDirectory,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Filter"": ""Qt5Network.dll"", ""FileInformationClass"": ""FileBothDirectoryInformation"", ""2"": ""Qt5Network.dll""}"
128819,2026-09-10T10:33:42.272721+00:00,134335100222727215,5572,xcopy.exe,File_System,CloseFile,C:\WindSyst,0x00000000,{}
128821,2026-09-10T10:33:42.272816+00:00,134335100222728160,5572,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst,0x00000000,{}
128824,2026-09-10T10:33:42.273689+00:00,134335100222736896,5572,xcopy.exe,File_System,CreateFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Desired Access"": ""Write Attributes"", ""Disposition"": ""Open"", ""Options"": """", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
128827,2026-09-10T10:33:42.273992+00:00,134335100222739924,5572,xcopy.exe,File_System,SetBasicInformationFile,C:\WindSyst\Qt5Network.dll,0x00000000,{}
128828,2026-09-10T10:33:42.274100+00:00,134335100222741000,5572,xcopy.exe,File_System,CloseFile,C:\WindSyst\Qt5Network.dll,0x00000000,{}
128829,2026-09-10T10:33:42.274191+00:00,134335100222741913,5572,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst\Qt5Network.dll,0x00000000,{}
129119,2026-09-10T10:33:42.330688+00:00,134335100223306882,5572,xcopy.exe,Process,Process_Exit,,0x00000000,"{""Exit Status"": 0, ""User Time"": 156250, ""Kernel Time"": 1875000, ""Private Bytes"": 1531904, ""Peak Private Bytes"": 1531904, ""Working Set"": 5095424, ""Peak Working Set"": 5099520}"
129173,2026-09-10T10:33:42.351197+00:00,134335100223511976,1312,cmd.exe,Process,Process_Exit,,0x00000000,"{""Exit Status"": 0, ""User Time"": 0, ""Kernel Time"": 1406250, ""Private Bytes"": 4567040, ""Peak Private Bytes"": 4829184, ""Working Set"": 4890624, ""Peak Working Set"": 5005312}"
129301,2026-09-10T10:33:42.386339+00:00,134335100223863394,6064,Res.exe,Process,Process_Create,C:\Windows\SysWOW64\cmd.exe,0x00000000,"{""PID"": 2804, ""Command line"": ""C:\\Windows\\system32\\cmd.exe /c XCOPY Qt5Gui.dll c:\\WindSyst /S""}"
129302,2026-09-10T10:33:42.386385+00:00,134335100223863854,2804,cmd.exe,Process,Process_Start,,0x00000000,"{""Parent PID"": 6064, ""Command line"": ""C:\\Windows\\system32\\cmd.exe /c XCOPY Qt5Gui.dll c:\\WindSyst /S"", ""Current directory"": ""C:\\lab\\sample\\virus\\""}"
130444,2026-09-10T10:33:42.681026+00:00,134335100226810260,2804,cmd.exe,Process,Process_Create,C:\Windows\SysWOW64\xcopy.exe,0x00000000,"{""PID"": 4356, ""Command line"": ""XCOPY  Qt5Gui.dll c:\\WindSyst /S""}"
130445,2026-09-10T10:33:42.681079+00:00,134335100226810799,4356,xcopy.exe,Process,Process_Start,,0x00000000,"{""Parent PID"": 2804, ""Command line"": ""XCOPY  Qt5Gui.dll c:\\WindSyst /S"", ""Current directory"": ""C:\\lab\\sample\\virus\\""}"
